Unnamed: 0,Chords,Notes_from_Degrees
163,Csadd13,"['""C#4""', '""F4""', '""G#4""', '""A#4""']"
164,Cs11s,"['""C#4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
165,Cs11b9,"['""C#4""', '""D4""', '""F4""', '""F#4""', '""G#4""', '""B4""']"
166,Csmajs911s,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G4""', '""G#4""']"
167,Csb711b9,"['""C#4""', '""D4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
168,Csmaj11,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""']"
169,Csmaj911s,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""G4""', '""G#4""']"
170,Cs11,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""B4""']"
171,Csb11b9,"['""C#4""', '""D4""', '""F4""', '""G#4""', '""B4""']"
172,Cs13b11b9b,"['""C#4""', '""D4""', '""F4""', '""G#4""', '""A4""', '""B4""']"
173,Cs13b9,"['""C#4""', '""D4""', '""F4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
174,Cs1311s,"['""C#4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""A#4""', '""B4""']"
175,Cs13b,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
176,Csmaj13b,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A4""']"
177,Cs13bb9,"['""C#4""', '""D4""', '""F4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
178,Csmaj13s911s,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""A#4""']"
179,Csb713b9,"['""C#4""', '""D4""', '""F4""', '""F#4""', '""G#4""', '""A4""', '""A#4""']"
180,Csmaj13,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
181,Csmaj1311s,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""A#4""']"
182,Cs13,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
183,Cs11b913b,"['""C#4""', '""D4""', '""F4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
184,Cs1113b,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
185,Csmin7,"['""C#4""', '""E4""', '""G#4""', '""B4""']"
186,Csminmaj7,"['""C4""', '""C#4""', '""E4""', '""G#4""']"
187,Csmin9,"['""C#4""', '""D#4""', '""E4""', '""G#4""', '""B4""']"
188,Csminmaj9,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""G#4""']"
189,Csminmajs9,"['""C4""', '""C#4""', '""E4""', '""G#4""']"
190,Csminb9,"['""C#4""', '""D4""', '""E4""', '""G#4""', '""B4""']"
191,Csminb79,"['""C#4""', '""D#4""', '""E4""', '""G#4""', '""A#4""']"
192,Csminb7b9,"['""C#4""', '""D4""', '""E4""', '""G#4""', '""A#4""']"
193,Csmin7b9,"['""C#4""', '""D4""', '""E4""', '""G#4""', '""B4""']"
194,Csmin7sus2,"['""C#4""', '""D#4""', '""E4""', '""G#4""', '""B4""']"
195,Csminmaj7sus2,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""G#4""']"
196,Csmin7sus4,"['""C#4""', '""E4""', '""F#4""', '""G#4""', '""B4""']"
197,Csminmaj7sus4,"['""C4""', '""C#4""', '""E4""', '""F#4""', '""G#4""']"
198,Csminadd9,"['""C#4""', '""D#4""', '""E4""', '""G#4""']"
199,Csminadd11,"['""C#4""', '""E4""', '""F#4""', '""G#4""']"
200,Csminadd13,"['""C#4""', '""E4""', '""G#4""', '""A#4""']"
201,Csmin11s,"['""C#4""', '""D#4""', '""E4""', '""G4""', '""G#4""', '""B4""']"
202,Csmin11b9,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G#4""', '""B4""']"
203,Csminmajs911s,"['""C4""', '""C#4""', '""E4""', '""G4""', '""G#4""']"
204,Csminb711b9,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G#4""', '""A#4""']"
205,Csminmaj11,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""F#4""', '""G#4""']"
206,Csminmaj911s,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""G4""', '""G#4""']"
207,Csmin11,"['""C#4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""B4""']"
208,Csminb11b9,"['""C#4""', '""D4""', '""E4""', '""F4""', '""G#4""', '""B4""']"
209,Csmin13b11b9b,"['""C#4""', '""D4""', '""E4""', '""F4""', '""G#4""', '""A4""', '""B4""']"
210,Csmin13b9,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
211,Csmin1311s,"['""C#4""', '""D#4""', '""E4""', '""G4""', '""G#4""', '""A#4""', '""B4""']"
212,Csmin13b,"['""C#4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
213,Csminmaj13b,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""A4""']"
214,Csmin13bb9,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
215,Csminmaj13s911s,"['""C4""', '""C#4""', '""E4""', '""G4""', '""G#4""', '""A#4""']"
216,Csminb713b9,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G#4""', '""A4""', '""A#4""']"
217,Csminmaj13,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""A#4""']"
218,Csminmaj1311s,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""G4""', '""G#4""', '""A#4""']"
219,Csmin13,"['""C#4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
220,Csmin11b913b,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
221,Csmin1113b,"['""C#4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
222,Csdim7,"['""C#4""', '""E4""', '""G4""', '""B4""']"
223,Csdimmaj7,"['""C4""', '""C#4""', '""E4""', '""G4""']"
224,Csdim9,"['""C#4""', '""D#4""', '""E4""', '""G4""', '""B4""']"
225,Csdimmaj9,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""G4""']"
226,Csdimmajs9,"['""C4""', '""C#4""', '""E4""', '""G4""']"
227,Csdimb9,"['""C#4""', '""D4""', '""E4""', '""G4""', '""B4""']"
228,Csdimb79,"['""C#4""', '""D#4""', '""E4""', '""G4""', '""A#4""']"
229,Csdimb7b9,"['""C#4""', '""D4""', '""E4""', '""G4""', '""A#4""']"
230,Csdim7b9,"['""C#4""', '""D4""', '""E4""', '""G4""', '""B4""']"
231,Csdim7sus2,"['""C#4""', '""D#4""', '""E4""', '""G4""', '""G#4""', '""B4""']"
232,Csdimmaj7sus2,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""G4""', '""G#4""']"
233,Csdim7sus4,"['""C#4""', '""E4""', '""F#4""', '""G4""', '""G#4""', '""B4""']"
234,Csdimmaj7sus4,"['""C4""', '""C#4""', '""E4""', '""F#4""', '""G4""', '""G#4""']"
235,Csdimadd9,"['""C#4""', '""D#4""', '""E4""', '""G4""']"
236,Csdimadd11,"['""C#4""', '""E4""', '""F#4""', '""G4""']"
237,Csdimadd13,"['""C#4""', '""E4""', '""G4""', '""A#4""']"
238,Csdim11s,"['""C#4""', '""D#4""', '""E4""', '""G4""', '""B4""']"
239,Csdim11b9,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G4""', '""B4""']"
240,Csdimmajs911s,"['""C4""', '""C#4""', '""E4""', '""G4""']"
241,Csdimb711b9,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G4""', '""A#4""']"
242,Csdimmaj11,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""F#4""', '""G4""']"
243,Csdimmaj911s,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""G4""']"
244,Csdim11,"['""C#4""', '""D#4""', '""E4""', '""F#4""', '""G4""', '""B4""']"
245,Csdimb11b9,"['""C#4""', '""D4""', '""E4""', '""F4""', '""G4""', '""B4""']"
246,Csdim13b11b9b,"['""C#4""', '""D4""', '""E4""', '""F4""', '""G4""', '""A4""', '""B4""']"
247,Csdim13b9,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G4""', '""A#4""', '""B4""']"
248,Csdim1311s,"['""C#4""', '""D#4""', '""E4""', '""G4""', '""A#4""', '""B4""']"
249,Csdim13b,"['""C#4""', '""D#4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""B4""']"
250,Csdimmaj13b,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""F#4""', '""G4""', '""A4""']"
251,Csdim13bb9,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""B4""']"
252,Csdimmaj13s911s,"['""C4""', '""C#4""', '""E4""', '""G4""', '""A#4""']"
253,Csdimb713b9,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""A#4""']"
254,Csdimmaj13,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""F#4""', '""G4""', '""A#4""']"
255,Csdimmaj1311s,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""G4""', '""A#4""']"
256,Csdim13,"['""C#4""', '""D#4""', '""E4""', '""F#4""', '""G4""', '""A#4""', '""B4""']"
257,Csdim11b913b,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""B4""']"
258,Csdim1113b,"['""C#4""', '""D#4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""B4""']"
259,Csaug7,"['""C#4""', '""F4""', '""A4""', '""B4""']"
260,Csaugmaj7,"['""C4""', '""C#4""', '""F4""', '""A4""']"
261,Csaug9,"['""C#4""', '""D#4""', '""F4""', '""A4""', '""B4""']"
262,Csaugmaj9,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""A4""']"
263,Csaugmajs9,"['""C4""', '""C#4""', '""E4""', '""F4""', '""A4""']"
264,Csaugb9,"['""C#4""', '""D4""', '""F4""', '""A4""', '""B4""']"
265,Csaugb79,"['""C#4""', '""D#4""', '""F4""', '""A4""', '""A#4""']"
266,Csaugb7b9,"['""C#4""', '""D4""', '""F4""', '""A4""', '""A#4""']"
267,Csaug7b9,"['""C#4""', '""D4""', '""F4""', '""A4""', '""B4""']"
268,Csaug7sus2,"['""C#4""', '""D#4""', '""F4""', '""G#4""', '""A4""', '""B4""']"
269,Csaugmaj7sus2,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""G#4""', '""A4""']"
270,Csaug7sus4,"['""C#4""', '""F4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
271,Csaugmaj7sus4,"['""C4""', '""C#4""', '""F4""', '""F#4""', '""G#4""', '""A4""']"
272,Csaugadd9,"['""C#4""', '""D#4""', '""F4""', '""A4""']"
273,Csaugadd11,"['""C#4""', '""F4""', '""F#4""', '""A4""']"
274,Csaugadd13,"['""C#4""', '""F4""', '""A4""', '""A#4""']"
275,Csaug11s,"['""C#4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""B4""']"
